                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  7.042,                 2.5074,                 0.9298,                 7.0453,                 2.5348,                 0.8911,                0.30105,                0.11728,                0.07088,                0.01963,                 6.7961,                 2.6197,                0.94459,                 6.8341,                 2.1506,                0.87943,               0.067058,             0.00033275,             0.00033275
                      2,                 6.7962,                 2.1853,                0.89562,                 6.9699,                 2.2996,                0.86356,                0.46492,                0.12551,                0.10135,                0.03041,                  6.244,                 1.6779,                0.91372,                 6.4343,                 1.8264,                  0.866,               0.034058,             0.00066606,             0.00066606
                      3,                 6.4732,                 2.1281,                0.88915,                 6.6555,                 2.2441,                0.85712,                0.21444,                0.09053,                0.04818,                0.01265,                 6.2652,                 2.1129,                0.89397,                 6.7374,                 2.4549,                0.87017,              0.0010575,             0.00099926,             0.00099926
                      4,                 6.2284,                 1.9998,                0.87113,                  6.446,                  2.124,                0.84399,                 0.4173,                0.15638,                0.13283,                0.03534,                 6.3019,                 1.5919,                 0.8819,                 6.4162,                 2.0059,                0.85622,             0.00099965,             0.00099965,             0.00099965
                      5,                 5.9385,                  1.848,                0.87153,                 6.1873,                 1.9866,                0.83992,                0.69489,                0.17339,                0.19798,                0.05883,                 5.2695,                 1.3333,                0.87901,                 5.7012,                 1.5802,                0.83269,             0.00099965,             0.00099965,             0.00099965
                      6,                 5.7809,                 1.7984,                0.86196,                 6.0362,                 1.9243,                 0.8326,                0.54316,                0.17695,                0.16464,                0.05507,                 5.2701,                 1.6307,                0.87739,                 5.7074,                 2.0456,                0.83397,             0.00099937,             0.00099937,             0.00099937
                      7,                 5.6682,                 1.6973,                0.85996,                 5.8995,                 1.8263,                 0.8305,                 0.6913,                0.18519,                0.19173,                  0.057,                 5.2198,                 1.6275,                0.86376,                 5.8611,                   1.83,                 0.8291,             0.00099902,             0.00099902,             0.00099902
                      8,                 5.5808,                 1.6842,                 0.8512,                 5.7987,                 1.7958,                0.82539,                0.46751,                0.15021,                0.14829,                0.05326,                 5.4399,                 1.9095,                0.84439,                 5.5106,                 1.8967,                0.82461,             0.00099859,             0.00099859,             0.00099859
                      9,                   5.71,                  1.651,                0.83327,                 5.7155,                  1.667,                0.82225,                0.50121,                0.20676,                 0.1974,                0.05643,                 5.5917,                   1.44,                0.83781,                 5.6289,                 1.4491,                0.82489,             0.00099809,             0.00099809,             0.00099809
                     10,                 5.5813,                 1.5996,                0.83271,                 5.6012,                 1.6143,                0.82423,                0.44926,                0.19342,                0.16709,                0.05187,                 5.6186,                 1.5408,                0.83711,                 5.6163,                 1.4918,                0.82313,              0.0009975,              0.0009975,              0.0009975
