                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4117,                 2.7168,                 0.9079,                 3.2785,                 2.5768,                0.87998,                0.43806,                0.13169,                0.09807,                0.02193,                 3.4242,                 3.1879,                0.92998,                 3.4407,                   2.12,                0.87154,              0.0033275,              0.0033275,              0.0033275
                      2,                 3.6709,                 2.0659,                0.94181,                 3.5672,                 2.0404,                0.90887,                0.47009,                0.13374,                0.11405,                0.03264,                 3.1927,                 2.6372,                0.90408,                 3.0065,                 2.3188,                0.89584,              0.0066345,              0.0066345,              0.0066345
                      3,                 3.6864,                 2.2824,                0.94768,                 3.6094,                 2.2515,                0.93007,                0.18953,                 0.0679,                 0.0446,                0.01171,                 3.7327,                 2.4592,                0.97037,                 3.5394,                  2.453,                0.94818,               0.009915,               0.009915,               0.009915
                      4,                 3.7248,                 2.4397,                0.93392,                 3.7036,                 2.4309,                0.92571,                0.32594,                0.12346,                0.08705,                0.02581,                 3.0839,                 1.7086,                0.90331,                  3.006,                 1.7185,                0.90339,              0.0098812,              0.0098812,              0.0098812
                      5,                 3.4305,                 2.1504,                0.91643,                 3.4042,                 2.1478,                 0.9055,                 0.3513,                0.13374,                0.09463,                0.02722,                 3.1807,                 1.8057,                0.90637,                 3.1085,                 1.6574,                0.90174,              0.0098812,              0.0098812,              0.0098812
                      6,                 3.3119,                 1.9843,                0.90217,                 3.2851,                 1.9777,                0.89392,                 0.4384,                0.18519,                0.15794,                0.04589,                 2.7364,                 1.4751,                0.88101,                 2.7582,                 1.4403,                0.89046,              0.0098416,              0.0098416,              0.0098416
                      7,                 3.1492,                 1.8187,                0.88757,                 3.1476,                 1.8176,                0.88622,                0.52182,                0.21399,                0.19012,                0.05642,                 2.6441,                 1.4203,                0.87822,                 2.6634,                   1.38,                0.88883,               0.009802,               0.009802,               0.009802
                      8,                 3.0741,                 1.7374,                0.87856,                 3.0497,                   1.73,                0.87575,                0.52294,                 0.2037,                0.18173,                0.05765,                 2.4848,                 1.3602,                0.86897,                 2.6116,                 1.3665,                0.87392,              0.0097624,              0.0097624,              0.0097624
                      9,                 3.0054,                 1.6586,                0.87674,                 3.0024,                  1.679,                0.87014,                0.47085,                0.19774,                0.17214,                 0.0511,                 2.7381,                 1.3281,                0.88604,                 2.8919,                 1.4482,                0.87235,              0.0097228,              0.0097228,              0.0097228
                     10,                 2.9577,                  1.672,                0.87341,                 2.9672,                 1.6894,                  0.867,                0.48985,                0.20576,                0.17752,                0.05364,                 2.7376,                 1.4149,                0.87557,                 2.6897,                 1.3888,                0.87134,              0.0096832,              0.0096832,              0.0096832
                     11,                 2.9478,                 1.6359,                0.86706,                  2.938,                 1.6357,                0.86361,                0.64608,                0.22634,                0.22038,                0.06801,                 2.4625,                 1.2426,                0.86982,                 2.5262,                 1.2401,                0.87025,              0.0096436,              0.0096436,              0.0096436
                     12,                 2.8539,                 1.5461,                 0.8561,                 2.8729,                 1.5723,                0.85563,                0.69897,                0.23457,                0.25355,                0.07859,                 2.3405,                 1.2425,                0.85928,                 2.3241,                 1.2212,                0.86021,               0.009604,               0.009604,               0.009604
                     13,                 2.8067,                 1.4882,                0.86506,                 2.7904,                 1.4841,                0.86502,                0.69934,                0.22494,                0.23822,                0.07763,                 2.2819,                 1.2111,                0.85576,                 2.3049,                 1.2167,                0.85355,              0.0095644,              0.0095644,              0.0095644
                     14,                 2.7834,                 1.4669,                0.85839,                 2.7713,                 1.4622,                0.85786,                0.68512,                0.24175,                0.25775,                0.08388,                 2.5085,                 1.2563,                0.86676,                 2.3369,                  1.205,                0.85788,              0.0095248,              0.0095248,              0.0095248
                     15,                 2.7518,                 1.4458,                0.85441,                 2.7404,                 1.4463,                0.85047,                0.69329,                0.25115,                0.26839,                0.09189,                 2.3262,                 1.1936,                0.86034,                 2.2606,                 1.1893,                0.85754,              0.0094852,              0.0094852,              0.0094852
                     16,                 2.7236,                 1.4204,                0.85442,                 2.7216,                 1.4326,                0.84932,                0.63975,                0.25309,                 0.2691,                0.08571,                 2.3907,                 1.2062,                0.86815,                 2.3136,                 1.1384,                 0.8553,              0.0094456,              0.0094456,              0.0094456
                     17,                 2.6987,                 1.4048,                0.85186,                 2.6906,                 1.4096,                0.85299,                0.75279,                0.24486,                0.26759,                0.09312,                 2.1681,                 1.1643,                0.85772,                 2.1771,                 1.1511,                0.85748,               0.009406,               0.009406,               0.009406
                     18,                 2.6585,                 1.4019,                0.85303,                 2.6731,                 1.4104,                0.85817,                0.69363,                0.26132,                0.29131,                0.10743,                 2.0924,                 1.1099,                0.84998,                 2.0738,                  1.098,                0.84804,              0.0093664,              0.0093664,              0.0093664
                     19,                 2.6342,                 1.3714,                0.84652,                 2.6244,                 1.3678,                0.84412,                0.74387,                0.26543,                0.29748,                0.11302,                 2.1183,                   1.03,                0.85561,                 2.0961,                 1.0099,                0.84955,              0.0093268,              0.0093268,              0.0093268
