                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 7.1569,                 2.7978,                0.91716,                 7.0526,                 2.7749,                0.90327,                0.35733,                0.11111,                0.07485,                0.01811,                  6.862,                 2.2439,                0.90524,                 6.6693,                 2.0818,                0.92574,               0.067058,             0.00033275,             0.00033275
                      2,                 7.0141,                 2.3144,                0.87981,                 7.0058,                  2.259,                0.88035,                0.22813,                0.09259,                0.04323,                0.01038,                  7.152,                 2.5027,                0.88507,                 7.4232,                 2.3018,                0.87064,               0.034058,             0.00066606,             0.00066606
                      3,                 6.7408,                  2.185,                0.86974,                 6.7436,                 2.1897,                0.85887,                0.35133,                0.04733,                0.03377,                0.00622,                 7.9071,                 3.3769,                0.87474,                 7.8844,                 3.4229,                0.86099,              0.0010575,             0.00099926,             0.00099926
                      4,                 6.4568,                 2.0834,                0.84872,                 6.4134,                 2.0788,                0.83797,                0.36044,                0.11728,                0.09276,                0.02899,                 5.9897,                  1.964,                0.86972,                 5.9944,                 2.1322,                0.84529,             0.00099965,             0.00099965,             0.00099965
                      5,                 6.2125,                  1.934,                0.84613,                 6.2118,                 1.9298,                0.83594,                0.45169,                0.15933,                0.13538,                0.03766,                 6.3034,                 1.6261,                0.85118,                 6.1193,                 1.6054,                0.83762,             0.00099965,             0.00099965,             0.00099965
                      6,                 6.1042,                 1.8698,                0.83722,                 6.0743,                 1.8796,                0.83074,                 0.3208,                0.20798,                0.14638,                0.04109,                 5.7031,                  1.867,                0.84211,                 5.8466,                 1.9861,                0.82872,             0.00099937,             0.00099937,             0.00099937
                      7,                 5.8506,                 1.7591,                0.82936,                 5.8267,                 1.7606,                0.82393,                0.54286,                0.23251,                0.20775,                0.05147,                 5.8047,                 1.5303,                0.82675,                 5.8642,                 1.5216,                0.82472,             0.00099902,             0.00099902,             0.00099902
                      8,                 5.7283,                 1.6696,                0.82105,                 5.7406,                 1.6882,                0.81823,                0.46269,                0.23457,                0.21291,                0.06516,                 5.2461,                 1.5427,                0.82758,                 5.2493,                 1.5466,                0.81767,             0.00099859,             0.00099859,             0.00099859
                      9,                 5.6486,                 1.6207,                0.82066,                 5.6737,                 1.6325,                 0.8173,                0.43325,                0.23663,                0.19054,                0.05386,                  5.334,                  1.621,                0.82309,                 5.5406,                 1.6932,                0.82354,             0.00099809,             0.00099809,             0.00099809
                     10,                 5.5055,                 1.5934,                0.81929,                 5.5005,                 1.5961,                0.81579,                 0.4241,                0.26132,                0.21237,                0.06933,                 5.2161,                 1.4842,                0.81547,                 5.0396,                 1.5607,                0.80937,              0.0009975,              0.0009975,              0.0009975
