                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3391,                 3.3525,                0.90004,                 3.2631,                 3.3598,                0.87472,                0.46202,                0.13992,                0.11976,                 0.0316,                 3.1403,                 1.7517,                0.91106,                 3.1758,                 1.6576,                0.87218,              0.0033275,              0.0033275,              0.0033275
                      2,                 3.6419,                 2.0935,                0.93588,                 3.5423,                 2.0631,                0.90508,                0.35242,                0.10082,                0.05338,                0.01161,                 3.4642,                 5.2009,                0.94898,                 3.4912,                 3.2679,                0.95558,              0.0066345,              0.0066345,              0.0066345
                      3,                 3.6719,                 2.2445,                0.94177,                 3.5884,                 2.2441,                0.92781,                0.35749,                0.03704,                0.02219,                0.00424,                 3.6206,                 2.1134,                0.97382,                 3.6939,                 2.2489,                0.97319,               0.009915,               0.009915,               0.009915
                      4,                 3.5593,                 2.2277,                0.91723,                 3.5814,                 2.2385,                0.91214,                 0.3537,                0.13992,                0.12217,                0.03144,                  3.063,                 1.9708,                0.91608,                  3.049,                 1.9584,                0.90806,              0.0098812,              0.0098812,              0.0098812
                      5,                 3.3719,                 1.9796,                0.91177,                 3.3388,                 1.9647,                0.90288,                0.37602,                0.11317,                0.08593,                0.02306,                 3.2211,                 1.6936,                0.91667,                 3.1536,                 1.6619,                0.91496,              0.0098812,              0.0098812,              0.0098812
                      6,                 3.2793,                 1.9531,                 0.9035,                 3.2434,                  1.939,                0.89309,                0.52309,                 0.1749,                0.14327,                0.04008,                 2.7539,                 1.5328,                0.89434,                 3.0188,                 1.7235,                0.91364,              0.0098416,              0.0098416,              0.0098416
                      7,                 3.0893,                 1.7333,                0.88366,                 3.0839,                 1.7383,                0.87917,                0.48454,                0.16255,                0.14058,                0.04196,                 2.5593,                 1.4423,                0.88824,                 2.7125,                  1.416,                0.87807,               0.009802,               0.009802,               0.009802
                      8,                 3.0277,                 1.6797,                0.87744,                 2.9946,                 1.6752,                0.86958,                0.69385,                0.19342,                  0.209,                0.06712,                 2.5952,                 1.3854,                0.87505,                 2.5524,                 1.3382,                0.86955,              0.0097624,              0.0097624,              0.0097624
                      9,                 2.9724,                 1.6237,                0.87434,                 2.9586,                 1.6308,                0.86657,                0.55897,                0.22428,                0.21482,                0.07212,                 2.3948,                 1.4072,                0.87543,                 2.4304,                 1.2463,                0.86404,              0.0097228,              0.0097228,              0.0097228
                     10,                 2.8748,                 1.5383,                0.86824,                 2.8601,                 1.5381,                0.86343,                0.56678,                0.22428,                0.21491,                0.06431,                 2.4592,                 1.2176,                0.88185,                 2.4653,                 1.2043,                0.87146,              0.0096832,              0.0096832,              0.0096832
                     11,                 2.8318,                 1.5166,                0.85716,                 2.8206,                 1.5168,                0.85199,                0.60503,                0.20576,                 0.2161,                0.06669,                 2.5941,                 1.2143,                 0.8737,                 2.5671,                 1.2173,                0.86288,              0.0096436,              0.0096436,              0.0096436
                     12,                 2.8225,                 1.4812,                0.85401,                  2.822,                 1.4851,                0.85109,                0.64013,                0.22428,                0.22221,                0.07577,                 2.3975,                 1.1871,                0.86531,                  2.335,                 1.1696,                0.85791,               0.009604,               0.009604,               0.009604
                     13,                 2.7243,                 1.4045,                0.85968,                 2.7061,                 1.3939,                0.85374,                0.67699,                0.25514,                 0.2536,                 0.0809,                 2.3064,                 1.1595,                0.85748,                 2.3554,                 1.1855,                0.85436,              0.0095644,              0.0095644,              0.0095644
                     14,                 2.7012,                 1.4111,                0.85209,                 2.6998,                 1.4088,                0.84764,                0.73692,                0.23868,                0.25768,                0.09367,                 2.3052,                 1.1287,                0.86513,                 2.2606,                 1.1215,                0.86397,              0.0095248,              0.0095248,              0.0095248
