                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 7.1115,                 2.8002,                0.92282,                 7.1136,                 2.8605,                0.90133,                0.12579,                0.07202,                0.02653,                0.00474,                 7.1739,                 4.0659,                0.97228,                 7.3864,                 4.7164,                0.91076,               0.067058,             0.00033275,             0.00033275
                      2,                 6.7968,                 2.1385,                0.89731,                  6.974,                 2.2492,                0.86524,                0.37999,                0.13374,                0.09168,                0.02215,                 6.3251,                 3.6234,                0.90299,                  6.442,                 3.2359,                 0.8824,               0.034058,             0.00066606,             0.00066606
                      3,                 6.4996,                 2.1147,                0.88009,                 6.5905,                 2.1782,                0.85672,                0.41952,                0.11523,                0.08276,                0.01842,                 6.5899,                 1.9156,                0.84384,                  6.729,                 1.8979,                0.88611,              0.0010575,             0.00099926,             0.00099926
                      4,                 6.5115,                 2.0688,                0.85315,                  6.468,                 2.0628,                0.84401,                0.40495,                0.16255,                 0.1249,                0.03018,                 6.4991,                 1.7483,                0.84086,                 6.3333,                 1.6973,                0.83048,             0.00099965,             0.00099965,             0.00099965
                      5,                 6.2072,                 1.8959,                0.84731,                 6.2029,                 1.8876,                0.84036,                0.47378,                0.19136,                 0.1489,                 0.0433,                 6.0186,                 1.6701,                0.84444,                 5.5614,                 1.6171,                0.83117,             0.00099965,             0.00099965,             0.00099965
                      6,                 6.0263,                 1.7901,                0.83552,                 5.9907,                 1.7977,                0.83216,                0.34873,                 0.1214,                0.09078,                0.01861,                 6.9894,                 1.8423,                0.84304,                 6.9503,                 1.8017,                0.83416,             0.00099937,             0.00099937,             0.00099937
                      7,                 5.7858,                 1.6738,                0.83052,                 5.7303,                 1.6722,                0.82587,                0.53834,                0.22074,                0.19175,                0.05539,                 5.6414,                 1.3989,                0.81909,                 5.5716,                 1.3569,                0.81918,             0.00099902,             0.00099902,             0.00099902
                      8,                 5.6907,                 1.6212,                0.82185,                 5.6614,                 1.6356,                0.82052,                0.51697,                0.20988,                 0.2004,                0.06401,                 5.3439,                  1.484,                0.82746,                 5.4211,                 1.4665,                0.82571,             0.00099859,             0.00099859,             0.00099859
                      9,                 5.6068,                 1.5854,                0.81995,                 5.5725,                 1.6009,                0.81615,                0.56081,                0.25514,                0.23578,                0.06447,                 5.2524,                 1.3045,                0.82181,                 5.3974,                 1.2922,                 0.8219,             0.00099809,             0.00099809,             0.00099809
                     10,                 5.4567,                 1.5312,                0.81785,                 5.4382,                 1.5415,                0.81652,                0.54064,                0.25514,                0.23571,                0.08112,                 4.9376,                 1.1871,                0.81719,                 4.9032,                 1.2215,                0.81441,              0.0009975,              0.0009975,              0.0009975
                     11,                 5.4238,                 1.5042,                0.81555,                 5.3738,                 1.5155,                0.81171,                0.59007,                0.21399,                0.22505,                0.07502,                 5.2587,                 1.2761,                0.81398,                 5.1462,                 1.2637,                0.81727,             0.00099684,             0.00099684,             0.00099684
                     12,                 5.3999,                 1.5126,                0.80967,                  5.367,                 1.5261,                0.80796,                0.53581,                0.26132,                0.24695,                0.07911,                 4.9215,                  1.282,                0.81186,                  4.948,                 1.2544,                0.81338,              0.0009961,              0.0009961,              0.0009961
