                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4306,                 3.6231,                0.90882,                 3.3164,                 3.4661,                0.88183,                0.26244,                  0.107,                0.06027,                0.01781,                 3.5092,                 3.5511,                0.92167,                 3.3822,                 2.2017,                0.89279,              0.0033275,              0.0033275,              0.0033275
                      2,                 3.7727,                 2.2071,                0.94552,                 3.6277,                 2.1893,                0.91846,                0.41997,                0.05967,                0.04767,                 0.0121,                 3.6159,                 1.7949,                0.97625,                 3.5791,                 1.7454,                0.95583,              0.0066345,              0.0066345,              0.0066345
                      3,                 3.7241,                   2.33,                0.95081,                 3.6449,                 2.3064,                0.93274,                0.24049,                0.06584,                  0.038,                0.00715,                  4.032,                 4.2368,                0.99353,                 3.8025,                 3.8883,                0.96749,               0.009915,               0.009915,               0.009915
                      4,                 3.6079,                 2.2504,                0.91918,                 3.5408,                  2.233,                0.91085,                0.26097,                0.10494,                0.06825,                 0.0183,                 3.2493,                  1.947,                0.90914,                 3.3121,                 2.0556,                0.92272,              0.0098812,              0.0098812,              0.0098812
                      5,                 3.3382,                 1.9719,                0.90653,                 3.3122,                 1.9508,                0.89643,                0.57915,                0.10288,                0.10019,                 0.0219,                   3.05,                  1.659,                0.90945,                 3.1221,                  1.718,                0.90915,              0.0098812,              0.0098812,              0.0098812
                      6,                 3.2741,                 1.9333,                0.89789,                  3.249,                 1.9394,                0.89071,                0.47892,                0.17587,                 0.1545,                0.04824,                 2.8323,                 1.6159,                0.89246,                 2.6781,                 1.5919,                 0.8907,              0.0098416,              0.0098416,              0.0098416
                      7,                  3.125,                 1.7698,                0.88636,                 3.0833,                 1.7697,                0.87945,                 0.6172,                 0.2037,                0.19629,                0.05974,                 2.5808,                 1.3718,                0.86823,                 2.5788,                 1.3033,                 0.8703,               0.009802,               0.009802,               0.009802
                      8,                 3.0478,                 1.6817,                0.87753,                 3.0382,                 1.6804,                0.87576,                0.49408,                0.20782,                0.18685,                0.05292,                 2.7074,                  1.506,                0.88671,                 2.6531,                  1.457,                  0.887,              0.0097624,              0.0097624,              0.0097624
                      9,                 2.9754,                 1.6264,                0.87625,                 2.9571,                 1.6247,                0.86866,                0.67072,                0.20988,                0.21004,                0.06443,                 2.4871,                 1.3565,                0.87593,                 2.5718,                 1.2985,                0.86914,              0.0097228,              0.0097228,              0.0097228
                     10,                 2.8809,                 1.5687,                0.86965,                  2.863,                 1.5662,                0.86282,                0.66881,                0.23045,                0.24155,                0.07407,                 2.5652,                 1.2157,                0.86953,                 2.4997,                 1.2375,                0.86592,              0.0096832,              0.0096832,              0.0096832
                     11,                 2.8828,                 1.5582,                0.86115,                 2.8793,                 1.5524,                0.85612,                0.73284,                0.21448,                0.24248,                0.07549,                 2.4654,                  1.235,                0.86972,                 2.5286,                  1.186,                0.86781,              0.0096436,              0.0096436,              0.0096436
                     12,                  2.841,                 1.5083,                0.85525,                 2.8484,                 1.5124,                 0.8537,                0.65586,                0.23136,                0.22328,                 0.0671,                 2.5379,                 1.2709,                 0.8627,                 2.6247,                 1.2744,                0.86172,               0.009604,               0.009604,               0.009604
                     13,                 2.7733,                 1.4338,                0.86226,                 2.7589,                 1.4293,                0.85646,                0.68274,                0.21697,                 0.2352,                0.07636,                 2.4806,                 1.1565,                0.87236,                 2.3996,                 1.1719,                0.86214,              0.0095644,              0.0095644,              0.0095644
                     14,                 2.7452,                 1.4367,                0.85185,                 2.7328,                 1.4333,                 0.8498,                 0.7362,                0.23663,                 0.2718,                0.08704,                  2.274,                 1.1419,                0.85644,                 2.3016,                 1.1283,                0.85392,              0.0095248,              0.0095248,              0.0095248
