                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5524,                 3.2588,                0.90148,                 3.5099,                 3.0743,                 0.8854,                0.45373,                0.11793,                0.10896,                0.03034,                 3.5384,                 1.8704,                0.91192,                 3.2148,                 1.8335,                0.86486,               0.067058,             0.00033275,             0.00033275
                      2,                 3.4284,                 2.0138,                0.86596,                 3.3965,                 2.0228,                0.85245,                0.40086,                0.18313,                0.13904,                0.03452,                 3.1065,                 1.6443,                0.85177,                 3.1472,                 1.7228,                0.83073,               0.034058,             0.00066606,             0.00066606
                      3,                 3.2773,                 1.9606,                0.85924,                 3.2717,                  1.961,                0.84735,                0.29779,                0.16872,                0.11429,                0.02929,                 3.3041,                 2.0196,                0.86182,                 3.0516,                 2.1608,                0.82873,              0.0010575,             0.00099926,             0.00099926
                      4,                 3.1686,                 1.8256,                0.84358,                  3.155,                 1.8349,                0.83527,                0.43556,                0.22428,                0.19328,                0.05818,                 2.6743,                 1.6466,                0.82838,                  2.682,                 1.6449,                 0.8199,             0.00099965,             0.00099965,             0.00099965
                      5,                 3.0193,                 1.7014,                0.83707,                 2.9916,                 1.6918,                0.82544,                0.54807,                0.19963,                0.20755,                0.07203,                 2.5983,                 1.5103,                 0.8189,                 2.6072,                 1.5128,                0.81296,             0.00099965,             0.00099965,             0.00099965
                      6,                 2.9088,                 1.6321,                0.83258,                 2.8886,                 1.6304,                0.81955,                0.52088,                0.26172,                0.23449,                0.07146,                  2.706,                 1.4105,                0.81762,                 2.5851,                 1.4341,                0.81218,             0.00099937,             0.00099937,             0.00099937
                      7,                 2.8484,                 1.5448,                0.82808,                 2.8294,                 1.5486,                0.81799,                0.55112,                0.23747,                0.24051,                0.07503,                 2.5485,                 1.3219,                0.80837,                 2.6018,                 1.3399,                 0.8073,             0.00099902,             0.00099902,             0.00099902
                      8,                 2.7943,                 1.5102,                 0.8166,                 2.7802,                 1.5068,                0.81189,                0.53313,                0.23966,                0.22884,                0.07906,                 2.5282,                  1.284,                0.81111,                 2.5507,                 1.3537,                0.81362,             0.00099859,             0.00099859,             0.00099859
                      9,                 2.7252,                 1.4571,                0.81927,                 2.7068,                 1.4543,                0.80755,                0.55621,                0.29218,                0.27539,                0.09972,                  2.265,                 1.2876,                0.80542,                 2.2263,                 1.2893,                0.79798,             0.00099809,             0.00099809,             0.00099809
                     10,                 2.6805,                 1.4332,                0.82266,                 2.6672,                 1.4341,                0.81678,                0.57976,                 0.3009,                0.28029,                0.08991,                 2.4653,                 1.2208,                0.80949,                 2.4503,                 1.2487,                0.80246,              0.0009975,              0.0009975,              0.0009975
                     11,                 2.6628,                 1.4146,                0.81543,                 2.6468,                 1.4135,                0.81163,                0.57105,                0.26955,                0.26608,                0.08667,                 2.4204,                 1.1634,                0.80732,                 2.4403,                 1.1852,                0.80653,             0.00099684,             0.00099684,             0.00099684
                     12,                 2.6366,                 1.4168,                0.80816,                 2.6222,                   1.41,                 0.8036,                0.62078,                0.29012,                0.27749,                0.09912,                 2.3644,                 1.1634,                0.80124,                 2.3844,                 1.1487,                0.80286,              0.0009961,              0.0009961,              0.0009961
                     13,                 2.5756,                 1.3379,                0.81016,                  2.557,                 1.3488,                 0.8074,                 0.6525,                0.30247,                0.29656,                 0.1044,                 2.3712,                 1.1636,                0.80152,                 2.3195,                 1.1527,                0.79187,             0.00099528,             0.00099528,             0.00099528
                     14,                 2.5454,                 1.3486,                 0.8113,                 2.5374,                   1.35,                0.80589,                 0.6623,                0.29862,                0.30466,                0.10435,                 2.3673,                 1.1435,                0.79504,                 2.4196,                 1.1759,                0.79496,             0.00099438,             0.00099438,             0.00099438
                     15,                 2.5603,                  1.315,                0.80639,                 2.5373,                 1.3216,                0.79939,                0.67901,                0.31481,                0.31749,                0.11506,                 2.1846,                  1.089,                0.80127,                 2.2344,                 1.1195,                0.79394,             0.00099341,             0.00099341,             0.00099341
                     16,                 2.4882,                 1.2984,                0.80641,                 2.4615,                 1.3113,                0.79767,                0.67349,                0.28861,                0.30792,                0.12352,                 2.1135,                 1.0143,                0.79803,                 2.0875,                 1.0547,                0.78814,             0.00099236,             0.00099236,             0.00099236
