                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 7.1396,                 3.2937,                0.92398,                 7.1759,                 3.1971,                0.89533,                0.23933,                0.10164,                 0.0496,                0.01156,                 6.8889,                 2.9661,                0.90535,                 6.6931,                 3.2268,                 0.9096,               0.067058,             0.00033275,             0.00033275
                      2,                 6.9177,                 2.1521,                0.87746,                 6.8739,                 2.1862,                0.86014,                0.21475,                0.12551,                 0.0683,                0.02071,                 6.5704,                 4.4951,                0.87556,                 6.6765,                  3.345,                0.86707,               0.034058,             0.00066606,             0.00066606
                      3,                 6.6818,                 2.0735,                0.86237,                 6.6077,                 2.0998,                0.85269,                0.37582,                0.18107,                0.13102,                0.03608,                 6.4712,                 1.9511,                0.86235,                 5.9924,                 1.9069,                0.83969,              0.0010575,             0.00099926,             0.00099926
                      4,                 6.4561,                 1.9711,                 0.8491,                 6.4213,                 1.9936,                0.84178,                0.37876,                 0.1749,                0.13765,                0.04057,                 6.1974,                 1.8618,                0.85026,                 5.9598,                 1.9434,                0.83502,             0.00099965,             0.00099965,             0.00099965
                      5,                 6.2135,                 1.8178,                0.84529,                 6.1646,                 1.8269,                0.83627,                0.48344,                0.18724,                0.16199,                0.04396,                  5.928,                 1.6457,                 0.8415,                 5.8573,                 1.6425,                0.82977,             0.00099965,             0.00099965,             0.00099965
                      6,                 6.0536,                 1.8025,                0.83803,                 6.0033,                 1.8221,                0.83224,                0.48896,                0.23045,                0.19506,                0.05887,                 5.5189,                  1.629,                0.83097,                 5.5804,                  1.616,                0.82406,             0.00099937,             0.00099937,             0.00099937
                      7,                 5.8341,                 1.6696,                0.83096,                 5.8339,                 1.6837,                0.82629,                0.62435,                0.21605,                0.21384,                0.06592,                 5.5087,                 1.5937,                0.81946,                 5.3638,                   1.45,                0.81504,             0.00099902,             0.00099902,             0.00099902
                      8,                 5.7596,                 1.6181,                0.82749,                 5.7393,                 1.6406,                 0.8189,                0.47947,                0.22016,                0.20435,                0.06725,                 5.3145,                 1.4047,                0.82497,                 5.3628,                 1.4326,                0.81778,             0.00099859,             0.00099859,             0.00099859
                      9,                 5.6612,                 1.5793,                0.82388,                 5.6224,                 1.5978,                0.81703,                0.54636,                0.23868,                0.21859,                0.07046,                 5.0187,                 1.5437,                0.82955,                 5.0644,                 1.4519,                0.82082,             0.00099809,             0.00099809,             0.00099809
                     10,                 5.5354,                  1.554,                0.82496,                 5.5155,                  1.561,                0.81853,                0.46101,                0.26132,                0.21686,                0.07541,                 5.1161,                 1.4983,                0.81162,                 5.2505,                 1.5349,                0.80784,              0.0009975,              0.0009975,              0.0009975
                     11,                 5.4749,                 1.5329,                0.81766,                 5.4497,                 1.5466,                0.81239,                0.52853,                0.24074,                0.21211,                0.07777,                 4.8573,                 1.1975,                0.81558,                 4.8069,                 1.2191,                0.80806,             0.00099684,             0.00099684,             0.00099684
                     12,                 5.3733,                 1.5277,                0.80954,                 5.3887,                 1.5427,                0.80581,                0.65056,                0.26432,                0.27288,                0.09723,                 4.9448,                 1.1936,                0.81921,                 4.7961,                 1.1632,                 0.8055,              0.0009961,              0.0009961,              0.0009961
                     13,                 5.2803,                 1.4453,                0.81506,                 5.2405,                 1.4638,                0.80978,                0.63801,                0.25103,                0.25034,                0.09148,                 4.8318,                 1.1973,                0.81823,                 4.8487,                 1.2504,                0.80866,             0.00099528,             0.00099528,             0.00099528
                     14,                 5.2501,                 1.4344,                0.81064,                 5.2305,                 1.4636,                0.80329,                0.62637,                0.25181,                 0.2602,                0.08677,                 4.9872,                 1.1699,                0.81844,                 4.7824,                 1.2033,                0.80353,             0.00099438,             0.00099438,             0.00099438
                     15,                  5.233,                 1.4414,                0.80691,                 5.2099,                 1.4628,                0.80157,                0.61001,                0.30254,                0.30201,                0.10645,                  4.441,                 1.1037,                0.80945,                 4.5987,                 1.1365,                0.80471,             0.00099341,             0.00099341,             0.00099341
                     16,                 5.1242,                 1.4021,                0.81978,                 5.0994,                 1.4217,                0.80057,                0.60232,                0.27572,                0.28532,                0.10684,                 4.8638,                 1.2023,                0.81113,                  4.766,                 1.1663,                 0.7988,             0.00099236,             0.00099236,             0.00099236
                     17,                 5.1195,                 1.4284,                0.80876,                 5.1165,                 1.4611,                0.79879,                0.68152,                0.28621,                0.29355,                0.10703,                 4.6155,                 1.1391,                0.80488,                 4.6126,                 1.1063,                0.79881,             0.00099123,             0.00099123,             0.00099123
                     18,                 5.0464,                  1.396,                0.80698,                 5.0708,                 1.4335,                0.79748,                0.58843,                 0.2716,                0.27825,                0.11205,                 4.3121,                 1.1522,                0.80153,                 4.3513,                 1.1691,                 0.7947,             0.00099003,             0.00099003,             0.00099003
