                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5524,                 3.2588,                0.90148,                 3.5099,                 3.0743,                 0.8854,                0.45373,                0.11793,                0.10896,                0.03034,                 3.5384,                 1.8704,                0.91192,                 3.2148,                 1.8335,                0.86486,               0.067058,             0.00033275,             0.00033275
                      2,                   3.41,                 2.0215,                0.87159,                 3.4024,                 2.0489,                0.85782,                0.34283,                0.17078,                0.12797,                0.03136,                 3.1591,                 3.1986,                0.86055,                 3.1418,                 3.3277,                0.84932,               0.034055,             0.00066345,             0.00066345
                      3,                 3.2571,                 1.9356,                 0.8529,                 3.2441,                 1.9641,                0.84329,                0.39847,                0.15432,                0.10748,                 0.0266,                 2.9701,                 2.0318,                0.85223,                  3.017,                 1.7902,                0.85161,              0.0010498,              0.0009915,              0.0009915
                      4,                 3.2161,                 1.8485,                0.84241,                  3.175,                 1.8624,                0.83296,                0.43165,                0.21605,                0.18178,                0.04554,                 3.0594,                 1.7763,                0.84878,                 2.9276,                 1.7414,                 0.8298,             0.00098812,             0.00098812,             0.00098812
                      5,                 3.0429,                 1.7028,                0.83532,                 3.0254,                 1.7035,                0.82841,                0.56026,                0.22634,                0.20465,                0.06193,                 2.6217,                 1.3968,                0.81907,                 2.7161,                 1.3699,                0.81609,             0.00098812,             0.00098812,             0.00098812
                      6,                  2.973,                 1.6606,                0.82894,                 2.9571,                 1.6727,                 0.8231,                0.44893,                0.22634,                0.20462,                0.06878,                 2.7349,                 1.5929,                0.82943,                 2.7693,                 1.5898,                0.82008,             0.00098416,             0.00098416,             0.00098416
                      7,                 2.8502,                 1.5448,                0.82717,                 2.8388,                 1.5451,                0.81986,                0.52639,                 0.2572,                0.24563,                0.08252,                 2.5366,                 1.2658,                0.81205,                 2.3708,                 1.2642,                0.80005,              0.0009802,              0.0009802,              0.0009802
                      8,                 2.8152,                 1.5127,                0.82053,                  2.792,                 1.5203,                0.81314,                0.58374,                0.26955,                0.25482,                0.08102,                 2.6657,                 1.2071,                0.81557,                 2.6375,                 1.2219,                0.80761,             0.00097624,             0.00097624,             0.00097624
                      9,                 2.7787,                 1.4766,                0.82184,                 2.7565,                 1.4764,                0.81116,                0.51822,                0.27222,                0.24041,                0.07386,                 2.6901,                 1.3761,                0.82988,                 2.5649,                 1.4308,                0.81332,             0.00097228,             0.00097228,             0.00097228
                     10,                 2.7091,                 1.4481,                0.82406,                   2.69,                 1.4514,                 0.8142,                0.57354,                0.28601,                0.25883,                0.07864,                 2.5182,                 1.3223,                0.81621,                 2.5031,                 1.3584,                0.80828,             0.00096832,             0.00096832,             0.00096832
                     11,                  2.673,                 1.4236,                0.81643,                 2.6613,                 1.4255,                0.80983,                 0.5245,                0.25926,                0.24851,                 0.0795,                 2.5236,                 1.2657,                0.81377,                 2.5031,                 1.2756,                0.80376,             0.00096436,             0.00096436,             0.00096436
                     12,                  2.655,                 1.4135,                0.81258,                 2.6409,                 1.4133,                0.80465,                0.64238,                 0.3107,                0.30771,                0.10714,                 2.3333,                 1.1483,                0.80658,                  2.367,                 1.1756,                  0.799,              0.0009604,              0.0009604,              0.0009604
                     13,                 2.5857,                  1.341,                0.81516,                 2.5663,                 1.3463,                 0.8077,                0.61526,                0.29012,                0.27826,                0.09638,                  2.435,                   1.24,                0.81226,                 2.4403,                 1.2548,                0.80593,             0.00095644,             0.00095644,             0.00095644
                     14,                 2.5662,                 1.3433,                0.81392,                 2.5657,                 1.3473,                0.80525,                0.59237,                0.28406,                0.27046,                0.08686,                 2.3919,                  1.181,                0.80591,                 2.5033,                 1.1861,                0.80391,             0.00095248,             0.00095248,             0.00095248
                     15,                 2.5678,                 1.3184,                0.80528,                 2.5478,                 1.3232,                0.79982,                0.74204,                0.29218,                0.30539,                0.11421,                 2.2192,                  1.076,                0.80336,                 2.2691,                 1.0704,                0.79655,             0.00094852,             0.00094852,             0.00094852
                     16,                 2.5041,                 1.3064,                0.80885,                  2.496,                 1.3066,                0.80014,                0.67527,                0.31687,                0.30748,                0.10868,                 2.2535,                 1.0589,                0.79929,                 2.2136,                 1.0198,                0.79319,             0.00094456,             0.00094456,             0.00094456
                     17,                 2.4885,                   1.31,                0.81078,                  2.478,                 1.3086,                0.80455,                0.67109,                0.31687,                0.32867,                0.11916,                 2.1569,                 1.0459,                0.79143,                 2.2235,                  1.075,                0.79457,              0.0009406,              0.0009406,              0.0009406
                     18,                 2.4941,                 1.3316,                0.81322,                 2.4701,                 1.3382,                0.80091,                0.67717,                0.30247,                 0.3178,                0.12312,                 2.1689,                 1.0087,                0.79285,                 2.1718,                 1.0309,                0.79339,             0.00093664,             0.00093664,             0.00093664
                     19,                 2.4652,                 1.3083,                0.80755,                 2.4501,                 1.3085,                0.80143,                0.71387,                0.30453,                0.31872,                0.12569,                 2.0317,                0.99864,                0.79432,                 2.0833,                 1.0265,                 0.7888,             0.00093268,             0.00093268,             0.00093268
                     20,                 2.4365,                  1.248,                0.80403,                 2.4239,                 1.2538,                0.79493,                0.65705,                0.31687,                0.31942,                0.13341,                 2.0678,                0.96941,                0.79928,                 2.1021,                0.98371,                 0.7919,             0.00092872,             0.00092872,             0.00092872
                     21,                  2.436,                 1.2772,                 0.8125,                 2.4249,                 1.2801,                 0.8034,                0.63985,                0.29245,                0.31064,                0.12788,                 2.0529,                0.97842,                0.79104,                 2.0796,                 0.9684,                0.79261,             0.00092476,             0.00092476,             0.00092476
                     22,                 2.4162,                 1.2308,                0.80742,                 2.3971,                 1.2378,                0.79836,                0.59848,                 0.2883,                 0.3102,                0.12851,                 2.0894,                 0.9578,                0.79715,                 2.0861,                0.95887,                0.78782,              0.0009208,              0.0009208,              0.0009208
                     23,                  2.387,                 1.2028,                0.80104,                  2.376,                 1.2097,                0.79374,                0.64639,                0.32722,                0.33484,                0.13045,                 2.0904,                0.97991,                0.79856,                 2.1024,                  1.017,                0.78915,             0.00091684,             0.00091684,             0.00091684
                     24,                 2.3745,                 1.1873,                 0.8052,                 2.3609,                 1.1943,                0.80061,                0.62873,                0.30664,                0.32582,                0.13821,                  2.004,                0.90849,                0.79187,                 1.9917,                0.92493,                0.78184,             0.00091288,             0.00091288,             0.00091288
                     25,                 2.3607,                 1.2109,                 0.8043,                 2.3422,                 1.2144,                0.79559,                 0.6437,                0.30658,                0.32035,                0.13086,                 2.0589,                0.96849,                0.79284,                 2.0127,                0.97028,                0.78045,             0.00090892,             0.00090892,             0.00090892
                     26,                 2.3366,                 1.1875,                0.80195,                 2.3221,                 1.1934,                0.79348,                0.62002,                0.31687,                0.32595,                0.14065,                 1.9393,                0.94411,                0.78877,                 1.9703,                0.93613,                0.78411,             0.00090496,             0.00090496,             0.00090496
