                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.527,                 4.8919,                0.93122,                 3.4234,                 4.4501,                0.91271,                 0.4041,                 0.1358,                0.11173,                0.02539,                 3.4993,                 2.5649,                0.92504,                 3.1747,                 2.3795,                0.91062,              0.0033275,              0.0033275,              0.0033275
                      2,                  3.712,                 2.1357,                0.94178,                 3.5759,                 2.1189,                0.91912,                0.46885,                0.12963,                0.10338,                0.02422,                 3.3891,                 1.9662,                0.92679,                 3.3417,                   1.82,                0.91486,              0.0066345,              0.0066345,              0.0066345
                      3,                 3.7074,                 2.3391,                0.94659,                 3.6373,                   2.33,                0.93642,                0.26445,                 0.0823,                0.04855,                0.01048,                 3.6433,                 2.9011,                0.94866,                 3.4017,                 2.7256,                0.94164,               0.009915,               0.009915,               0.009915
                      4,                 3.7713,                 2.4173,                0.94043,                 3.7303,                 2.4301,                0.92625,                0.24248,                0.10288,                0.07004,                0.02009,                 3.4385,                 4.7441,                0.92379,                 3.1366,                 3.7499,                0.90377,              0.0098812,              0.0098812,              0.0098812
                      5,                 3.4511,                 2.0772,                0.91423,                  3.373,                  2.066,                0.90057,                0.51729,                0.16538,                0.14334,                0.03585,                 3.1019,                 1.8453,                0.92084,                 2.9985,                 1.7805,                0.91379,              0.0098812,              0.0098812,              0.0098812
                      6,                 3.3318,                 1.9481,                0.90562,                  3.297,                 1.9567,                0.89404,                0.55812,                0.11523,                0.11411,                0.02816,                 3.1632,                 1.6437,                0.90312,                 3.0509,                 1.6608,                 0.9012,              0.0098416,              0.0098416,              0.0098416
                      7,                 3.1821,                 1.8068,                0.88992,                 3.1263,                  1.794,                0.88276,                0.50793,                0.18107,                0.16407,                 0.0405,                 2.8583,                 1.4639,                 0.8867,                 2.8626,                 1.4502,                0.89179,               0.009802,               0.009802,               0.009802
                      8,                 3.1144,                 1.7377,                0.88387,                 3.0678,                 1.7224,                0.87741,                0.62135,                0.22016,                0.21041,                 0.0652,                 2.5916,                  1.358,                 0.8776,                 2.5461,                 1.2862,                0.87878,              0.0097624,              0.0097624,              0.0097624
                      9,                 3.0429,                 1.6806,                  0.879,                 3.0112,                 1.6822,                0.87364,                0.53748,                 0.2037,                0.19621,                0.05806,                 2.5458,                 1.3252,                0.88005,                 2.4507,                  1.317,                0.87569,              0.0097228,              0.0097228,              0.0097228
                     10,                 2.9894,                 1.6673,                0.87846,                 2.9788,                  1.669,                0.87429,                0.60504,                0.20173,                0.19132,                0.05718,                 2.5721,                 1.2536,                0.87165,                 2.5506,                 1.2543,                0.86972,              0.0096832,              0.0096832,              0.0096832
                     11,                 2.9598,                 1.6452,                0.86575,                 2.9477,                 1.6409,                0.86387,                0.56253,                0.18107,                0.18607,                0.06445,                 2.5271,                 1.3754,                0.87925,                 2.4262,                   1.36,                0.86526,              0.0096436,              0.0096436,              0.0096436
                     12,                 2.9136,                 1.6027,                0.86167,                 2.9243,                 1.6028,                0.86052,                0.55268,                0.21193,                0.18422,                0.05327,                  2.667,                 1.4048,                0.87204,                 2.6111,                 1.3867,                0.87032,               0.009604,               0.009604,               0.009604
                     13,                 2.8572,                 1.5303,                0.86878,                 2.8433,                 1.5207,                0.86258,                0.56946,                0.21228,                0.18976,                0.06057,                  2.423,                 1.3673,                0.87544,                 2.3922,                 1.3415,                0.86781,              0.0095644,              0.0095644,              0.0095644
                     14,                 2.8472,                 1.5221,                 0.8605,                 2.8176,                 1.5237,                0.85639,                 0.6406,                0.23251,                0.23348,                0.07798,                 2.4306,                 1.2486,                0.86286,                 2.4562,                 1.2417,                0.86051,              0.0095248,              0.0095248,              0.0095248
                     15,                 2.8154,                 1.4827,                0.85629,                 2.7927,                 1.4821,                 0.8516,                0.57723,                0.26969,                0.26076,                0.08898,                 2.2885,                 1.2752,                0.85366,                  2.265,                 1.2542,                0.85307,              0.0094852,              0.0094852,              0.0094852
                     16,                 2.7616,                 1.4524,                0.85645,                 2.7423,                 1.4522,                0.85013,                0.69251,                0.26414,                0.28131,                 0.0924,                 2.1965,                 1.1853,                0.85857,                 2.1316,                 1.1397,                0.85533,              0.0094456,              0.0094456,              0.0094456
                     17,                 2.7345,                 1.4379,                0.85546,                 2.7291,                 1.4348,                 0.8492,                 0.6589,                 0.2284,                  0.228,                0.08228,                  2.257,                 1.1418,                0.85867,                  2.306,                 1.1733,                 0.8566,               0.009406,               0.009406,               0.009406
                     18,                 2.7331,                 1.4667,                0.85541,                 2.7232,                  1.468,                0.85131,                0.65701,                0.24486,                0.25977,                0.09449,                 2.1141,                 1.1374,                0.85239,                 2.1262,                 1.1361,                0.85112,              0.0093664,              0.0093664,              0.0093664
                     19,                 2.7256,                 1.4453,                0.85202,                  2.713,                  1.443,                0.84848,                0.71578,                0.25392,                0.27732,                0.09895,                 2.0664,                 1.0898,                 0.8513,                 2.1191,                 1.0996,                0.84679,              0.0093268,              0.0093268,              0.0093268
                     20,                 2.6327,                 1.3812,                 0.8427,                 2.6349,                 1.3894,                0.83826,                0.69799,                0.26155,                0.28293,                0.09684,                 2.1789,                 1.0734,                 0.8627,                 2.1614,                 1.1176,                  0.856,              0.0092872,              0.0092872,              0.0092872
