                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 7.0982,                 2.6609,                  0.902,                 6.9695,                 2.5456,                0.88481,                0.42078,                0.10494,                0.08929,                0.02455,                 6.9391,                 4.3902,                 0.8977,                 6.8635,                 3.8351,                0.86587,               0.067058,             0.00033275,             0.00033275
                      2,                 6.9532,                 2.2418,                0.87511,                 6.9391,                 2.2459,                0.86468,                0.22203,                0.10288,                0.05223,                  0.014,                 6.8995,                 2.3404,                0.91876,                  6.814,                 2.7285,                0.92001,               0.034058,             0.00066606,             0.00066606
                      3,                 6.6692,                 2.1607,                0.86374,                 6.6421,                 2.1585,                0.85407,                0.44111,                0.13804,                0.11287,                0.02575,                 6.2129,                 1.8687,                0.84341,                 6.3872,                 1.8696,                0.84082,              0.0010575,             0.00099926,             0.00099926
                      4,                 6.4498,                 2.0787,                0.84909,                   6.43,                 2.0822,                0.84059,                0.27321,                0.11934,                0.09648,                0.03298,                 6.1275,                 2.1203,                0.85276,                  6.114,                 2.0284,                0.84602,             0.00099965,             0.00099965,             0.00099965
                      5,                 6.1355,                 1.8744,                0.84527,                 6.1086,                 1.8722,                0.83524,                0.61003,                  0.206,                0.20129,                0.06014,                 5.5382,                 1.5081,                0.83221,                 5.4584,                 1.4998,                0.82876,             0.00099965,             0.00099965,             0.00099965
                      6,                 5.9768,                   1.81,                0.83709,                 5.9715,                 1.8055,                0.83102,                0.43774,                0.22428,                0.18512,                0.04557,                 6.2196,                 1.7019,                0.82832,                 6.1971,                 1.6633,                0.82791,             0.00099937,             0.00099937,             0.00099937
                      7,                 5.7747,                 1.7174,                0.82997,                 5.7443,                 1.7191,                0.82459,                0.55787,                0.22634,                0.19695,                0.05719,                 5.5119,                 1.4045,                0.81352,                 5.5241,                  1.428,                0.80663,             0.00099902,             0.00099902,             0.00099902
                      8,                 5.6141,                 1.6267,                0.82311,                 5.6043,                 1.6361,                0.81878,                 0.6567,                0.25309,                0.27272,                0.08364,                 5.1203,                 1.2706,                0.81864,                 5.0171,                 1.2733,                0.81387,             0.00099859,             0.00099859,             0.00099859
                      9,                 5.5787,                 1.5733,                0.82136,                 5.5649,                 1.5865,                0.82016,                 0.5553,                0.25514,                 0.2386,                0.06385,                 5.4157,                  1.438,                0.81475,                 5.2851,                 1.3732,                0.81111,             0.00099809,             0.00099809,             0.00099809
                     10,                 5.4469,                 1.5422,                0.81872,                 5.4287,                 1.5533,                 0.8223,                0.58894,                0.27778,                0.25178,                0.08022,                 5.1323,                 1.2501,                0.80406,                 5.0774,                 1.2519,                0.80127,              0.0009975,              0.0009975,              0.0009975
