                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2752,                 2.9214,                0.90006,                 3.1888,                 2.7239,                0.86843,                0.34327,                0.13374,                0.09323,                0.02075,                 2.8984,                 2.1511,                0.91101,                 3.4139,                 2.1662,                0.87244,              0.0033275,              0.0033275,              0.0033275
                      2,                 3.5579,                 1.9865,                 0.9243,                 3.5042,                 1.9888,                0.88747,                0.27948,                0.10494,                0.06983,                  0.019,                 3.2042,                 2.4788,                0.91934,                 3.5287,                 1.8866,                0.90906,              0.0066345,              0.0066345,              0.0066345
                      3,                 3.6224,                 2.2059,                0.94257,                 3.5501,                 2.1796,                0.92874,                0.19355,                0.06584,                0.03145,                0.00741,                 3.7392,                 3.5876,                 0.9451,                 3.7051,                 3.5155,                0.95217,               0.009915,               0.009915,               0.009915
                      4,                 3.6757,                  2.374,                0.93277,                 3.6463,                 2.3384,                  0.925,                0.45535,                 0.0679,                0.06519,                0.02124,                 3.0691,                 2.0302,                0.91723,                 2.9601,                 2.0053,                0.92823,              0.0098812,              0.0098812,              0.0098812
                      5,                 3.4031,                 2.0519,                 0.9119,                 3.3876,                 2.0427,                0.90694,                0.58573,                0.14609,                0.14124,                0.03459,                 3.0419,                 1.6954,                0.89826,                 3.0439,                 1.6444,                0.90257,              0.0098812,              0.0098812,              0.0098812
                      6,                 3.2203,                 1.9124,                0.89613,                 3.1988,                  1.903,                0.88875,                 0.4875,                0.17284,                0.16126,                0.04811,                 2.8101,                 1.5187,                0.88815,                 2.7568,                 1.5579,                0.89445,              0.0098416,              0.0098416,              0.0098416
                      7,                  3.109,                 1.7528,                0.88597,                 3.0925,                 1.7486,                0.87959,                0.47378,                 0.1893,                0.16993,                0.04635,                 2.8344,                 1.5412,                0.87942,                 2.7825,                 1.4671,                0.87837,               0.009802,               0.009802,               0.009802
                      8,                 3.0352,                 1.6952,                0.87393,                 3.0133,                 1.6953,                0.87074,                0.66471,                0.23251,                0.22277,                0.07791,                 2.4576,                 1.2589,                0.87299,                 2.4326,                 1.2105,                0.86847,              0.0097624,              0.0097624,              0.0097624
                      9,                 2.9615,                 1.6086,                0.87318,                 2.9352,                 1.6083,                0.86847,                0.63512,                 0.2149,                0.20497,                0.05784,                 2.6495,                 1.3101,                 0.8822,                 2.6773,                 1.2701,                0.88235,              0.0097228,              0.0097228,              0.0097228
                     10,                 2.8647,                  1.542,                 0.8674,                 2.8574,                 1.5461,                0.86307,                0.60359,                0.23251,                0.23713,                0.07272,                 2.4572,                  1.296,                0.86297,                 2.3366,                 1.2573,                0.85987,              0.0096832,              0.0096832,              0.0096832
                     11,                 2.8595,                 1.5333,                0.85952,                 2.8206,                 1.5261,                0.85457,                0.65684,                0.24074,                0.24649,                  0.081,                 2.4503,                 1.2729,                0.87008,                 2.3705,                 1.1703,                0.86268,              0.0096436,              0.0096436,              0.0096436
                     12,                 2.7903,                 1.4909,                0.85132,                 2.7983,                 1.4909,                 0.8511,                0.71475,                0.23717,                0.25332,                0.08619,                 2.3916,                 1.2087,                0.86689,                  2.252,                 1.2348,                0.85767,               0.009604,               0.009604,               0.009604
                     13,                 2.7257,                  1.416,                 0.8572,                 2.7212,                 1.4082,                0.85478,                 0.7178,                0.22634,                0.23592,                0.08883,                 2.1922,                 1.1736,                0.86109,                 2.2017,                 1.1953,                0.85541,              0.0095644,              0.0095644,              0.0095644
                     14,                 2.7287,                 1.4292,                 0.8516,                 2.7119,                 1.4215,                0.84861,                0.68641,                 0.2387,                0.25504,                0.08073,                 2.3756,                 1.1998,                 0.8575,                 2.3683,                 1.2205,                0.85977,              0.0095248,              0.0095248,              0.0095248
                     15,                 2.6919,                 1.4009,                0.84867,                 2.6877,                 1.4062,                0.84645,                0.68952,                0.27875,                0.28487,                 0.0952,                 2.1839,                  1.143,                0.85339,                 2.1309,                 1.1753,                0.84756,              0.0094852,              0.0094852,              0.0094852
